date,id,name,subs,views,videos
2026-08-23 00:00,UCpOhdzl-CTUQ8xHonbVWsZw,うずまき🌀,28800,7852024,183
2026-08-23 00:00,UCO94y0dm-m5LjY3OHywSifw,カミヤ kamiya【ポーランドボール】,12100,3441297,79
2026-08-23 00:00,UCCQEhe-wXZCSb843x92YDzQ,きままボール,17800,12649025,153
2026-08-23 00:00,UCKCAWr6aCfgm9lLWmM7yEKQ,炭火焼き,18800,14067904,59
2026-08-23 00:00,UC7TqXiAikWw_Xh4Xbam1Faw,ケエレビQ!,12400,5404845,100
2026-08-23 00:00,UCdrDC3QVzRjxHcS7m3EDPxg,ジャスティンピーバー - ポーランドボール,18600,56481563,528
2026-08-23 00:00,UCmjY1OXynztjoCn9Lb4w7Ag,SEKKI98,12200,8535066,791
2026-08-23 00:00,UCeVN-gQR83mALrvJ-fwd7Ig,"ソビエト・カチューシャボール☭

",14100,4995139,330
2026-08-23 00:00,UCaZ6KZVlP5hts3SH54o-3rg,ちまちもヒエナ ,12400,5426531,81
2026-08-23 00:00,UClK8Y5AOaRrsc-Hh0bY024w,TKG ball,13700,4153696,48
2026-08-23 00:00,UCJnnOU3J61-6fC2RKWEsAxA,なぽりたんぼーる!!,16500,8563347,285
2026-08-23 00:00,UCPgo3vhueVGcmxye8KXomag,パプさん,17200,16404130,337
2026-08-23 00:00,UCAUMzXLzsiUdYFG-1DELB3w,ほたて,10900,3737979,235
2026-08-23 00:00,UCaMxGSc7gfuS8YRuSzr_nuQ,ぽぱい,12600,4290387,33
2026-08-23 00:00,UCqJGrZl5WavKUk1sz1R34cQ,ほわさん,14300,3822169,88
2026-08-23 00:00,UCzRXkYhS5YbXshAHUm8kUyg,マスカットボール,16100,4575980,45
2026-08-23 00:00,UCkSwKF9fslUtFRiaA-Oto6Q,まるぼーるch ,13000,18790328,121
2026-08-23 00:00,UC0Qa8bCyRfJSBVp2LdEk1Ag,マロー,13500,3223408,48
2026-08-23 00:00,UCP8Ycdrev3FBUVFH-PMxQNQ,MIKUボール,14100,3388393,210
2026-08-23 00:00,UCYhJeY5hQxjCB5onai17ExA,ミルー帝国-はんぺん[PB],17300,8675499,250
2026-08-23 00:00,UCDlKmulWHerASMS8t2rIrYg,ユウセイボール,16800,6265587,76
2026-08-23 00:00,UCwRXtk8XSKXepmobDPuhoLQ,ユラミア連邦共和国,11900,9093422,93
2026-08-23 00:00,UCnzJL5YTjaPHTkkll5BHukQ,レメラボール / 🌈🌙【えるめす】,11000,5885640,179
2026-08-23 00:00,UCXn5jlX_q9OtdFqDgC7fj8Q,練乳=ソビエト共和国ぼーる,10600,1760839,92
2026-08-23 00:00,UCVLAvD5h6wz97dxzwy28Q6g,わーるどボール【ポーランドボール】,11400,2207915,99
2026-08-23 00:00,UCZiElwYajEL91UWMkBpSU-w,ĜÇ_Z3RØくん,10100,6391428,167
2026-08-23 00:00,UC3N1ZsVd8KkOmSryri0AesA,lemon_Ball,10700,984943,117
2026-08-23 00:00,UCw4mBghvckZ6kRp1KF3PP2g,渋谷区のペンギン,15000,3389423,53
2026-08-23 00:00,UCkUsTywsJ86m7U4wbknNXQQ,ひかるボール　Hikaru ball,11800,1553412,157
2026-08-23 00:00,UCLflWIARKMxRiQDu7OIGGyg,やよいどき,13000,1292978,21
2026-08-23 00:00,UC96ekumgW3ymYIz1T_3ZmVw,Kou kou部屋,15300,3086848,123
2026-08-23 00:00,UCksVp34yDXswzafRM_HfO0w,にっぱら(元PBer),12000,7232567,701
2026-08-23 00:00,UCSzLt1x0-MwXF35nP23nsVA,にゃほんボール🇯🇵,12300,4136299,114
2026-08-23 00:00,UCvf-UiLQzKEGKYoMvwCGYbA,一時ログアウト中,14400,,
2026-08-23 00:00,UC2fMWFGgy-ENfkqlK0CUwrg,にこちPB,3640,109920,9
2026-08-23 00:00,UCeV4DkPl_rjFqZB6KrgIpmQ,かめ・さーくボール共和国,9570,2004246,82
2026-08-23 00:00,UCUwsogiV3npfOKMReFmY6wg,空白ボール,9590,4561989,65
2026-08-23 00:00,UCtPArTiYwO9r7BeXVZdZjGQ,玄米ボール🍚,9950,5517865,122
2026-08-23 00:00,UCeImiuiv09c_mQzrJziJPAA,ふかひれ牧場,9170,1266398,24
2026-08-23 00:00,UCOh65Kskqz7uscFL7p1UexQ,ライヒスボール【Reichsball】,9640,4405032,49
2026-08-23 00:00,UCJ1LhZfBOpZy8NzLDYPOopA,mikan帝国ぼーる,9390,1569920,33
2026-08-23 00:00,UCZPDR-vhP3KaujXH5DUJMxA,ココプー,8930,6101455,372
